tau_sec,offset_sec,ev_sampling_shift,accuracy
30,-10,14,0.02
30,-9,44,0.01
30,-8,12,0.02666666666666667
30,-7,50,0.17
30,-6,48,0.10333333333333333
30,-5,44,0.17333333333333334
30,-4,50,0.3233333333333333
30,-3,18,0.91
30,-2,38,0.05333333333333334
30,-1,51,0.8933333333333333
30,0,22,1.0
30,1,19,1.0
30,2,52,0.96
30,3,56,0.7966666666666666
30,4,31,0.06333333333333334
30,5,51,0.9233333333333333
30,6,41,0.2966666666666667
30,7,25,1.0
30,8,38,0.09666666666666666
30,9,5,0.016666666666666666
30,10,15,0.7866666666666666
